Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,17.2764,16.7472,16.8503,16.9556,16.8219,16.6278,16.3982,15.4532,14.9148,14.9854
Austria,7.9929,7.5094,7.6791,7.6949,7.9123,7.5303,7.6528,6.9738,7.3995,6.8782
Belgium,9.2509,8.6814,8.9921,8.8031,8.7009,8.7318,8.6416,7.8796,8.2391,7.6875
Canada,16.243,15.9966,15.9711,15.4427,15.5016,15.5815,15.4197,13.7995,14.0787,14.2492
China,7.2352,7.2183,7.0796,6.9656,7.0987,7.3066,7.5401,7.6593,7.9503,7.9928
Denmark,7.424,6.649,6.1838,6.4688,6.042,6.0015,5.3401,4.8578,5.0576,4.9402
Finland,9.5084,8.7191,8.0639,8.598,8.1069,8.2912,7.6888,6.8243,6.8546,6.5267
France,5.6602,5.1426,5.1938,5.2197,5.2522,5.0107,4.8983,4.3663,4.7539,4.6039
Germany,10.2081,9.7086,9.7241,9.738,9.5128,9.1054,8.5088,7.7674,8.1382,7.9838
Italy,6.1389,5.8042,6.0089,5.9684,5.8899,5.8424,5.6992,5.0971,5.6926,5.7268
Japan,10.3008,9.9161,9.6123,9.4686,9.3698,9.0425,8.7807,8.3021,8.5235,8.5017
South Korea,12.6667,12.4484,12.4362,12.4326,12.7066,12.9684,12.4721,11.5274,11.8864,11.5988
Netherlands,9.7748,9.2879,9.6122,9.6173,9.4264,9.1481,8.7835,7.8399,7.9939,7.1372
Norway,8.7618,8.7502,8.7651,8.5319,8.3687,8.3589,8.0013,7.664,7.5935,7.5093
Portugal,4.5967,4.6006,5.0363,4.8745,5.3462,4.9926,4.6156,4.0488,3.8812,4.0508
Spain,5.406,5.4704,5.8316,5.5866,5.8731,5.7403,5.3183,4.5103,4.8491,5.1644
Sweden,4.6847,4.4599,4.4083,4.3618,4.2211,4.1365,3.9936,3.5381,3.6806,3.6069
Switzerland,5.3388,4.7911,4.676,4.6792,4.5165,4.33,4.2827,3.963,4.1176,4.0479
United Kingdom,7.4276,6.7745,6.477,6.0838,5.8634,5.716,5.4621,4.8653,5.1644,4.7202
USA,17.159,17.168,16.563,16.0537,15.8044,16.1914,15.7399,14.0341,14.9325,14.9496
