Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,1e-05,6e-05,7e-05,6e-05,9e-05,0.00014,0.00036,0.00027,0.00079,0.0015
Austria,8e-05,0.0002,0.00032,0.00057,0.00081,0.00103,0.0013,0.00265,0.00536,0.0052
Belgium,5e-05,0.00017,0.00035,0.00081,0.00129,0.00116,0.00154,0.00407,0.00613,0.0083
Canada,9e-05,0.00014,0.00019,0.00032,0.00046,0.00119,0.00136,0.00134,0.00228,0.00293
China,1e-05,5e-05,0.00015,0.00024,0.00042,0.00078,0.00075,0.00081,0.0023,0.00418
Denmark,9e-05,0.0003,0.00083,0.00033,0.00023,0.00079,0.00162,0.00549,0.0111,0.00966
Finland,4e-05,8e-05,0.00012,0.00026,0.00056,0.00103,0.00143,0.00311,0.00541,0.00558
France,0.00015,0.0002,0.00034,0.00044,0.00055,0.00068,0.00092,0.00274,0.00443,0.005
Germany,8e-05,0.00017,0.00028,0.00029,0.00065,0.00081,0.0013,0.00469,0.00829,0.0099
Italy,2e-05,2e-05,4e-05,4e-05,8e-05,0.00016,0.00029,0.00101,0.00233,0.00193
Japan,0.00023,0.00025,0.00019,0.00019,0.00043,0.00039,0.00031,0.00024,0.00036,0.00082
South Korea,1e-05,3e-05,7e-05,0.0001,0.00029,0.00115,0.00069,0.00077,0.00176,0.00254
Netherlands,0.00134,0.00087,0.00264,0.00136,0.0006,0.0016,0.00386,0.00505,0.00542,0.00604
Norway,0.00162,0.00422,0.00653,0.0086,0.01175,0.01374,0.01477,0.0197,0.02737,0.03042
Portugal,2e-05,2e-05,0.00011,0.00018,0.00043,0.00078,0.00123,0.00192,0.0028,0.00327
Spain,2e-05,4e-05,4e-05,8e-05,0.00016,0.00025,0.00037,0.00089,0.00141,0.00172
Sweden,0.00016,0.00047,0.00089,0.0013,0.00203,0.00286,0.00399,0.00908,0.01296,0.01554
Switzerland,0.00017,0.00035,0.00069,0.00073,0.00099,0.00112,0.00202,0.00394,0.0062,0.00672
United Kingdom,6e-05,0.00022,0.00045,0.00059,0.00074,0.00093,0.00112,0.00265,0.00463,0.00552
USA,0.00031,0.00037,0.00036,0.0005,0.0006,0.0011,0.00099,0.00089,0.0019,0.00297
